chrom,start,end,name,score,strand,feature,relative_pos
chr3,2524680978,2524680979,PSI_1,113,-,3UTR,0.8939029895300918
chr19,2180902021,2180902022,PSI_2,235,-,CDS,0.7136096188283448
chr3,1371533919,1371533920,PSI_3,677,+,CDS,0.4149602122015915
chr18,2489540262,2489540263,PSI_4,260,-,CDS,0.4289407066709452
chr19,584828079,584828080,PSI_5,229,+,3UTR,0.9580392622027163
chr1,1252521658,1252521659,PSI_6,500,+,CDS,0.4012568449094366
chr9,309975625,309975626,PSI_7,788,-,CDS,0.5554595983081999
chr15,2353316988,2353316989,PSI_8,887,+,CDS,0.2934717867457829
chr20,502455323,502455324,PSI_9,977,-,5UTR,0.12018378580091427
chr8,2068875100,2068875101,PSI_10,282,-,3UTR,0.9472505598407565
chr21,2903719033,2903719034,PSI_11,779,-,5UTR,0.031404575975078404
chr12,2659191316,2659191317,PSI_12,688,+,3UTR,0.9467624992119034
chr19,1430240045,1430240046,PSI_13,379,+,CDS,0.5698413704243499
chr9,1052446078,1052446079,PSI_14,659,+,CDS,0.6295440714383298
chr9,280132662,280132663,PSI_15,243,+,3UTR,0.838596152919057
chr21,1744882847,1744882848,PSI_16,787,-,3UTR,0.9333811774604668
chr3,2442053226,2442053227,PSI_17,944,+,CDS,0.5367689635205559
chr13,1339039160,1339039161,PSI_18,600,-,CDS,0.4832881662149955
chr8,1320831325,1320831326,PSI_19,545,-,CDS,0.5451572327044025
chr18,2064494703,2064494704,PSI_20,325,+,CDS,0.4877142047868574
chr5,1693606735,1693606736,PSI_21,768,+,5UTR,0.0526792843731791
chr22,168131422,168131423,PSI_22,511,+,3UTR,0.9325290043671975
chr15,562377340,562377341,PSI_23,913,+,CDS,0.3063853039134055
chr1,553486275,553486276,PSI_24,402,+,CDS,0.6104402025710947
chr2,27164175,27164176,PSI_25,908,-,CDS,0.45239561943874057
chr12,2251155415,2251155416,PSI_26,338,-,CDS,0.6543782747166192
chr6,860663699,860663700,PSI_27,635,-,CDS,0.7443496614194002
chr11,1415839165,1415839166,PSI_28,326,-,5UTR,0.18832325914538275
chr20,465210448,465210449,PSI_29,500,-,CDS,0.4869087060555862
chr22,152693186,152693187,PSI_30,713,+,3UTR,0.8704512767631815
chr5,2928923900,2928923901,PSI_31,502,-,CDS,0.66921768707483
chr11,1101979886,1101979887,PSI_32,677,-,5UTR,0.1169910343319484
chr13,2510226884,2510226885,PSI_33,794,-,5UTR,0.1790437436419125
chr9,2638485900,2638485901,PSI_34,957,-,3UTR,0.9889402626225263
chr7,573805372,573805373,PSI_35,210,+,3UTR,0.8949121969335243
chr9,131060329,131060330,PSI_36,643,-,CDS,0.22762714963272065
chr17,2162856571,2162856572,PSI_37,754,+,5UTR,0.0738631226833017
chr13,1657505779,1657505780,PSI_38,221,+,3UTR,0.9977733740063681
chr14,2097346040,2097346041,PSI_39,946,+,CDS,0.7923486312105857
chr8,1827238448,1827238449,PSI_40,425,+,3UTR,0.8185425546894001
chr8,2411135408,2411135409,PSI_41,331,+,CDS,0.37701417200543585
chr16,1734558807,1734558808,PSI_42,959,-,5UTR,0.06358895705521472
chr3,279665882,279665883,PSI_43,703,+,CDS,0.42799898000072856
chr2,1447822778,1447822779,PSI_44,749,+,3UTR,0.8855942096661219
chr16,131852097,131852098,PSI_45,869,+,3UTR,0.8479211750080574
chr8,1600292050,1600292051,PSI_46,466,+,CDS,0.5198150483396385
chr19,2134637730,2134637731,PSI_47,251,-,5UTR,0.011778029445073612
chr19,406155907,406155908,PSI_48,631,+,3UTR,0.9225432783410237
chr6,2836193538,2836193539,PSI_49,499,+,CDS,0.2697103692239664
chr4,46613064,46613065,PSI_50,901,-,CDS,0.20164039198977418
chr5,137652965,137652966,PSI_51,724,+,CDS,0.6446072657023041
chr1,958766896,958766897,PSI_52,667,-,CDS,0.7974418905110346
chr17,1570593928,1570593929,PSI_53,577,-,CDS,0.22768184908225697
