chrom,start,end,name,score,strand,feature,relative_pos
chr5,2055502208,2055502209,M6A_1,383,-,3UTR,0.8137818446215686
chr17,354882659,354882660,M6A_2,919,-,5UTR,0.11352587932513583
chr22,2431920543,2431920544,M6A_3,319,+,3UTR,0.8642745709828393
chr7,362600297,362600298,M6A_4,966,-,CDS,0.776498696785404
chr9,136395170,136395171,M6A_5,964,+,3UTR,0.9950648202710666
chr21,150967706,150967707,M6A_6,686,-,CDS,0.6196659876025405
chr12,979497593,979497594,M6A_7,530,+,CDS,0.792427708169745
chr5,2746180017,2746180018,M6A_8,839,+,3UTR,0.9011928876884988
chr20,2462619212,2462619213,M6A_9,760,+,3UTR,0.86212555987336
chr19,425233229,425233230,M6A_10,280,-,5UTR,0.19488435182412317
chr21,2873781816,2873781817,M6A_11,852,+,3UTR,0.8531410450015101
chr16,2482654496,2482654497,M6A_12,413,-,3UTR,0.9208173076923077
chr19,2022087631,2022087632,M6A_13,459,-,5UTR,0.008862116815945502
chr5,932598077,932598078,M6A_14,161,+,3UTR,0.9986474789006708
chr13,1663049000,1663049001,M6A_15,412,+,3UTR,0.9308989706869546
chr11,290387302,290387303,M6A_16,422,-,CDS,0.6668850633077263
chr18,997485482,997485483,M6A_17,444,+,CDS,0.7689151517531116
chr19,1218548768,1218548769,M6A_18,990,-,3UTR,0.8134961932409487
chr19,563024033,563024034,M6A_19,528,-,CDS,0.7626276566381451
chr5,838533939,838533940,M6A_20,616,+,CDS,0.6169755511392522
chr17,2096396785,2096396786,M6A_21,266,+,CDS,0.6563464040141238
chr9,2284477708,2284477709,M6A_22,570,-,5UTR,0.06768726810843333
chr21,2550096034,2550096035,M6A_23,521,-,3UTR,0.8707704851202609
chr16,2509623493,2509623494,M6A_24,727,+,3UTR,0.9554076343072573
chr13,455973173,455973174,M6A_25,556,-,3UTR,0.8190522875816993
chr10,577151895,577151896,M6A_26,543,-,3UTR,0.9194480481188819
chr17,1406854347,1406854348,M6A_27,271,+,3UTR,0.8525876594720372
chr20,971515380,971515381,M6A_28,771,+,CDS,0.5961463351126155
chr6,339229258,339229259,M6A_29,225,+,3UTR,0.9023157507811064
chr12,2462834144,2462834145,M6A_30,840,+,3UTR,0.9186587414394625
chr10,45640570,45640571,M6A_31,580,-,CDS,0.786342507440725
chr21,995053378,995053379,M6A_32,416,+,CDS,0.7944956993897458
chr14,1300691965,1300691966,M6A_33,531,-,3UTR,0.8846505006112564
chr16,873003506,873003507,M6A_34,772,+,CDS,0.5646675502540314
chr20,692232850,692232851,M6A_35,460,-,3UTR,0.8525844744590363
